name,gender,birthday,entrance,graduation,location,company,job,phone,email,wechat,
MaQiang,female,19980516,2016,2019,shanghai,tencent,designer,15540174039,jz2l@outlook.com,emcph4w2b5,
PingYuxin,female,19980828,2015,2011,nanjing,apple,engineer,15573661526,odtjce@163.com,bf00zbxymssj,
LvZeyu,female,19971202,2017,2019,qingdao,douyin,manager,15183532025,7affz@msn.com,fcael938nuy4,
PangXiu,male,19980903,2015,2018,shanghai,alibaba,manager,15007939906,u1hh5@gmail.com,ffo2d6lr,
LvTianyu,male,19970925,2016,2018,beijing,douyin,officer,13943932493,exbex4r@hotmail.com,42mpjxz8l15,
YingTianyu,male,19970123,2015,2018,guangzhou,google,officer,13028032569,c42o1az@hotmail.com,j7etwa8d6jk,
YangYuzhe,male,19970509,2016,2018,shanghai,apple,manager,15334645459,ao32@sohu.com,kpj618244,
GuXiaoyi,female,19970202,2015,2019,fuzhou,microsoft,engineer,13762318640,rxp@yahoo.com,afrywioj,
LinYuhan,female,19971023,2015,2019,hongkong,apple,officer,13865179717,o3d@qq.com,0xrpxcqlkn,
WuXiaoyi,male,19970217,2017,2018,xiamen,meituan,designer,15814518990,mbga6lo@yahoo.com,b15ptwn00y3,
ZhouTianyu,male,19980809,2016,2019,hangzhou,meituan,engineer,13690692110,s49c@sina.com,zx7yag9jck,
PangYuxin,female,19980314,2016,2018,guangzhou,microsoft,editor,13594368736,4sgfa@hotmail.com,840jgvwqjz,
HanKexin,female,19980528,2017,2011,xiamen,apple,anaylst,15698573193,ft1ljxw@hotmail.com,95smg89m8znh,
QinHaoyu,male,19980509,2015,2019,nanchang,alibaba,manager,13775484037,hkzz@ask.com,es8yru6l,
ZhuYuhan,female,19980215,2015,2018,taiyuan,adobe,anaylst,15276357627,6o1als@ask.com,lhdr9kdg,
YuLei,male,19980221,2017,2018,taiyuan,tencent,trader,13516534691,m4jg3@live.com,wgbyacaueu6,
ZhuBao,male,19970727,2016,2018,taiyuan,tencent,editor,15013837565,ma3ow1g@hotmail.com,agv2xbfm,
ZhugeKexin,male,19980113,2015,2011,beijing,baidu,editor,15062553620,sd9@qq.com,z1uhs51mf,
PingRanran,female,19971009,2015,2018,taiyuan,douyin,officer,15138406763,jvcy@msn.com,e4ipndvf,
MaoHaoyu,female,19970504,2017,2018,nanjing,douyin,designer,15974394981,yig@live.com,how746qbc,
HuaYuchen,female,19970609,2017,2011,taiyuan,tencent,engineer,13336921412,rn2a@outlook.com,1psdicw0u47,
CaoShuxia,male,19980825,2017,2019,taiyuan,tencent,manager,15082536067,lj3r@sohu.com,uds7gzb6ux,
HanYi,female,19980418,2016,2019,hangzhou,microsoft,manager,13323525505,la5@qq.com,98jkx2w22j,
ZhaoYuchen,female,19981027,2017,2011,xiamen,alibaba,anaylst,13184927021,sabsj4@qq.com,7dzi8zrsvtf,
MaXiaofeng,male,19980225,2016,2018,shanghai,meituan,developer,13836076768,314sr@hotmail.com,4obonbary,
LvYuze,male,19970821,2016,2018,hangzhou,baidu,designer,15090564025,rzv@hotmail.com,ijkbirgoi7,
XuHaoran,female,19981003,2015,2011,xiamen,microsoft,trader,13663820051,wxwb4@163.com,0wkd13pjh,
ZhenghongYuhan,female,19980115,2015,2011,qingdao,adobe,engineer,13917853471,amoq@163.com,mvpqittmu6x,
ChengYi,female,19980627,2015,2018,beijing,tencent,editor,15032429053,mr7jqke@hotmail.com,8zc09twmp6vg,
MaLin,male,19981216,2015,2018,qingdao,adobe,engineer,15727648785,hjy9@ask.com,73174sw7,
FengXiaotong,male,19970902,2015,2019,shijiazhuang,apple,trader,13635527850,fbco23@hotmail.com,4nnfyj6ej,
LinShiqi,male,19981212,2016,2019,hangzhou,adobe,trader,13810451051,zvnot@126.net,zv7l653nz8j,
PangZichen,female,19981026,2017,2011,qingdao,douyin,engineer,13415629075,2pn7gec@gmail.com,gtl87kwmme,
ZhengLei,male,19980608,2017,2018,hongkong,google,trader,15233962793,2p0gjz@live.com,k6addvnzj2,
ZhenghongXiaotong,female,19980406,2015,2011,beijing,douyin,officer,13637374168,ol6ek@163.com,rfs34dls,
ShenYuxuan,female,19970223,2015,2018,beijing,alibaba,officer,15244741679,hif7@163.com,9vg2ahn5,
BaoYuze,male,19971004,2016,2011,shijiazhuang,google,trader,15384627591,pnay@live.com,aj5mq8fwo,
PangYutong,male,19970302,2015,2011,nanjing,baidu,engineer,13672166535,9ew@ask.com,pmif4m1fuh,
HanXiaoming,male,19970310,2015,2019,zhengzhou,meituan,engineer,13502290825,11vo@ask.com,n499b9zyg,
LinBao,female,19980206,2016,2018,shanghai,alibaba,engineer,13059813514,cfum21q@126.net,nnczg5tbg7m,
GaoYuxin,female,19980706,2016,2011,nanjing,adobe,officer,13653732589,ievznx9@hotmail.com,zlgb16al0,
SunHaoran,male,19980308,2016,2011,zhengzhou,alibaba,anaylst,15342762202,ljm@163.com,mcpaxssa,
QinXuan,male,19970628,2017,2011,shanghai,xdf,developer,13124512356,pj5@qq.com,d3yb4uva,
WangLiang,female,19980310,2015,2018,guangzhou,meituan,trader,13799122315,db1t4@hotmail.com,svlpvhgpn,
